Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,721.3800,"  Formaldehyde, condensated polyoxyethylene fatty acid,
ester with styrenated phenol, ethylene oxide adduct",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_13800
Subsection,721.3805,"  Formaldehyde, reaction products with 1,
3",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_13805
Subsection,721.3807,"  Formaldehyde, polymer with phenol and 1,2,3",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_13807
Subsection,721.3810,"  Formaldehyde, polymers with substituted phenols
",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_13810
Subsection,721.5560,"  Formaldehyde, polymer with ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_15560
Subsection,721.7046,"  Formaldehyde, polymer with substituted phenols,
glycidyl ether",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_17046
Subsection,721.9480,"  Formaldehyde, polymer with 1,3",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_19480
Subsection,721.10134,"  Formaldehyde, polymer with dialkylphenylamine,
dialkylphenol and trimethylhexanediamine ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110134
Subsection,721.10190,"  Formaldehyde, polymer with aliphatic diamine and
phenol, reaction products with 4",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110190
Subsection,721.10205,"  Formaldehyde, polymer with 1,3",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110205
Subsection,721.10237,"  Formaldehyde, polymers with acetone",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110237
Subsection,721.10238,"  Formaldehyde, polymers with acetone",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110238
Subsection,721.10285,"  Formaldehyde, polymer with 4",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110285
Subsection,721.10286,"  Formaldehyde, polymer with ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110286
Subsection,721.10358,"  Formaldehyde reaction products with aryl amine
",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110358
Subsection,721.10738,"  Formaldehyde, polymer with 2,3",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110738
Subsection,721.10901,"  Formaldehyde, reaction products with aniline and
aromatic mono",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110901
