Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Part,82,PROTECTION OF STRATOSPHERIC OZONE,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.21.82&r=PART&ty=HTML
Subsection,96.320,"  General CAIR NOX Ozone Season Trading Program permit 
requirements",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.96&r=PART&ty=HTML#se40.23.96_1320
Subsection,96.341,"  Timing requirements for CAIR NOX Ozone Season allowance
allocations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.96&r=PART&ty=HTML#se40.23.96_1341
Subsection,96.342,  CAIR NOX Ozone Season allowance allocations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.96&r=PART&ty=HTML#se40.23.96_1342
Subsection,96.353,  Recordation of CAIR NOX Ozone Season allowance allocations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.96&r=PART&ty=HTML#se40.23.96_1353
Subsection,96.360,  Submission of CAIR NOX Ozone Season allowance transfers,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.96&r=PART&ty=HTML#se40.23.96_1360
Subsection,96.386,  Withdrawal from CAIR NOX Ozone Season Trading Program,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.96&r=PART&ty=HTML#se40.23.96_1386
Subsection,96.388,"  CAIR NOX Ozone Season allowance allocations to CAIR NOX
Ozone Season opt",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.96&r=PART&ty=HTML#se40.23.96_1388
Subsection,97.320,"  General CAIR NOX Ozone Season Trading Program permit
requirements",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.97&r=PART&ty=HTML#se40.23.97_1320
Subsection,97.341,"  Timing requirements for CAIR NOX Ozone Season allowance
allocations",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.97&r=PART&ty=HTML#se40.23.97_1341
Subsection,97.342,  CAIR NOX Ozone Season allowance allocations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.97&r=PART&ty=HTML#se40.23.97_1342
Subsection,97.343,"  Alternative of allocation of CAIR NOX Ozone Season 
allowances by permitting authority",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.97&r=PART&ty=HTML#se40.23.97_1343
Subsection,97.353,  Recordation of CAIR NOX Ozone Season allowance allocations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.23.97&r=PART&ty=HTML#se40.23.97_1353
