Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,721.1055,"  Benzeneamine, 3,5",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11055
Subsection,721.1193,"  Benzene, 2",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11193
Subsection,721.1210,"  Benzene, ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11210
Subsection,721.1225,"  Benzene, 1,2",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11225
Subsection,721.1230,"  Benzene, ethenyl",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11230
Subsection,721.1240,"  Benzene, ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11240
Subsection,721.1325,"  Benzene, 1",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11325
Subsection,721.1350,"  Benzene, ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11350
Subsection,721.1550,"  Benzenediazonium, 4",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11550
Subsection,721.1568,"  Benzenediazonium, 2",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11568
Subsection,721.1620,"  Benzenesulfonamide, alkylphenyl substituted phenyl
substituted carbonyl",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11620
Subsection,721.1625,"  Benzenesulfonic acid, dodecyl",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11625
Subsection,721.1643,"  Benzenesulfonic acid, amino substituted phenylazo",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11643
Subsection,721.1645,"  Benzenesulfonic acid, 4",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_11645
Subsection,721.2535,"  Benzene, 1,1",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_12535
Subsection,721.3420,"  Benzene, 1",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_13420
Subsection,721.5286,"  Benzenediazonium, ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_15286
Subsection,721.9595,"  Benzenesulfonic acid, mono C",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_19595
Subsection,721.9790,"  Benzenesulfonic acid, 2,2",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_19790
Subsection,721.9795,"  Benzenesulfonic acid, 2,2",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_19795
Subsection,721.9798,"  Benzenesulfonic acid, 2,2",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_19798
Subsection,721.10056,"  Benzenemethanaminium, N",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110056
Subsection,721.10072,"  Benzene, 1,1",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110072
Subsection,721.10096,"  Benzene, 1,4",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110096
Subsection,721.10157,"  Benzeneethanol,halo",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110157
Subsection,721.10164,"  Benzenecarboximidamide, N",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110164
Subsection,721.10215,"  Benzenepropanol, ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110215
Subsection,721.10260,"  Benzene, 1,3",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110260
Subsection,721.10280,  Benzene ethenyl,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110280
Subsection,721.10300,"  Benzeneacetic acid, ",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110300
Subsection,721.10366,"  Benzene, 4",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110366
Subsection,721.10491,"  Benzenepropanal,",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110491
Subsection,721.10597,"  Benzeneacetonitrile, alkoxy",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110597
Subsection,721.10690,"  Benzenedicarboxylic acid, polymer with substituted
alkanediol, dodecanedioic acid, 1,2",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110690
Subsection,721.10813,"  Benzenesulfonic acid, dimethyl",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110813
Subsection,721.10884,"  Benzenepropanol, 1",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.33.721&r=PART&ty=HTML#se40.33.721_110884
