Main Part or Subsection?,Number of part or subsection,Full Line of Result,Link to Result
Subsection,52.05,  Public availability of emission data,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.3.52&r=PART&ty=HTML#se40.3.52_105
Subsection,52.34,"  Action on petitions submitted under section 126 relating
to emissions of nitrogen oxides",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.3.52&r=PART&ty=HTML#se40.3.52_134
Subsection,52.244,  Motor vehicle emissions budgets,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.3.52&r=PART&ty=HTML#se40.3.52_1244
Subsection,52.423,  Base year emissions inventory,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.3.52&r=PART&ty=HTML#se40.3.52_1423
Subsection,52.796,  Industrial continuous emission monitoring,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.3.52&r=PART&ty=HTML#se40.3.52_1796
Subsection,52.987,  Control of hydrocarbon emissions,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.3.52&r=PART&ty=HTML#se40.3.52_1987
Subsection,52.1075,  Base year emissions inventory,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.4.52&r=PART&ty=HTML#se40.4.52_11075
Subsection,52.2036,  Base year emissions inventory,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.5.52&r=PART&ty=HTML#se40.5.52_12036
Subsection,52.2052,"  Motor vehicle emissions budgets for Pennsylvania ozone
areas",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.5.52&r=PART&ty=HTML#se40.5.52_12052
Subsection,52.2424,  Motor vehicle emissions budgets,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.5.52&r=PART&ty=HTML#se40.5.52_12424
Subsection,52.2531,  Base year emissions inventory,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.5.52&r=PART&ty=HTML#se40.5.52_12531
Subsection,52.2532,  Motor vehicle emissions budgets,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.5.52&r=PART&ty=HTML#se40.5.52_12532
Part,59,"NATIONAL VOLATILE ORGANIC COMPOUND EMISSION STANDARDS FOR
CONSUMER AND COMMERCIAL PRODUCTS",https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.6.59&r=PART&ty=HTML
Subsection,60.613,  Monitoring of emissions and operations,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1613
Subsection,60.634,  Alternative means of emission limitation,https://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=beb0ac4effa006b7d7cffcf88b9c1684&mc=true&n=pt40.8.60&r=PART&ty=HTML#se40.8.60_1634
